ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,LONGITUDE,LATITUDE,RMA
T20140011179,30/05/2014,14.15.00,Collision with vehicle                   ,Friday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,100 km/hr                          ,143.50457,-38.28534,Local Road
T20140011180,30/05/2014,16.38.00,Collision with vehicle                   ,Friday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.73559,-37.74324,Local Road
T20140011181,30/05/2014,15.35.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.01085,-37.90785,Local Road
T20140011182,30/05/2014,06.17.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,145.21392,-37.95198,Freeway
T20140011183,28/05/2014,09.00.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.98476,-37.8624,Arterial Highway
T20140011184,8/05/2014,06.00.00,Collision with vehicle                   ,Thursday,Right Near (Intersections Only)               ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.92843,-37.60736,Local Road
T20140011185,21/05/2014,18.36.00,Collision with vehicle                   ,Wednesday,Cross Traffic(Intersections Only)              ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.94003,-37.78918,Arterial Highway
T20140011186,30/05/2014,15.20.00,Vehicle overturned (no collision)              ,Friday,Out Of Control On Carriageway (On Bend)           ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.80022,-37.63026,Arterial Other
T20140011189,30/05/2014,14.22.00,Collision with vehicle                   ,Friday,Right Near (Intersections Only)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,145.01624,-37.97543,Arterial Other
T20140011191,26/05/2014,06.00.00,Collision with vehicle                   ,Monday,Right Rear.                         ,Dusk/Dawn                          ,Other injury accident                    ,40 km/hr                          ,144.96229,-37.76608,Arterial Other
T20140011193,30/05/2014,18.40.00,Collision with a fixed object                ,Friday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Other injury accident                    ,Not known                          ,145.14674,-37.67519,Arterial Other
T20140011194,30/05/2014,19.31.00,No collision and no object struck              ,Friday,Off Carriageway To Left                   ,Unk.                            ,Other injury accident                    ,60 km/hr                          ,144.33108,-38.16824,Arterial Other
T20140011197,30/05/2014,13.41.00,Collision with vehicle                   ,Friday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,70 km/hr                          ,144.90053,-37.79446,Arterial Highway
T20140011198,30/05/2014,17.45.00,Collision with vehicle                   ,Friday,Lane Side Swipe (Vehicles In Parallel Lanes)        ,Dusk/Dawn                          ,Other injury accident                    ,80 km/hr                          ,145.15592,-37.93246,Arterial Highway
T20140011199,30/05/2014,18.10.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,145.32314,-38.03029,Freeway
T20140011200,30/05/2014,16.10.00,Collision with vehicle                   ,Friday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.08137,-37.83421,Arterial Other
T20140011201,7/04/2014,20.02.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Dark Street lights on,Other injury accident                    ,Not known                          ,145.1587,-37.91848,Arterial Highway
T20140011202,30/05/2014,17.51.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.18069,-38.14909,Local Road
T20140011203,30/05/2014,19.22.00,Struck Pedestrian                      ,Friday,Far Side. Ped Hit By Vehicle From The Left         ,Dark No street lights,Serious injury accident                   ,50 km/hr                          ,144.33687,-38.15006,Local Road
T20140011204,30/05/2014,19.30.00,Struck Pedestrian                      ,Friday,Far Side. Ped Hit By Vehicle From The Left         ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,144.29776,-36.76298,Local Road
T20140011206,30/05/2014,15.30.00,Collision with vehicle                   ,Friday,Vehicle Off Footpath Strikes Veh On Carriageway,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.95804,-37.79582,Arterial Other
T20140011207,30/05/2014,19.10.00,Collision with vehicle                   ,Friday,Right Through                        ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,145.11289,-37.82772,Arterial Other
T20140011208,28/05/2014,15.50.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,143.82746,-37.58714,Arterial Highway
T20140011209,30/05/2014,21.00.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,145.05245,-37.85331,Arterial Other
T20140011212,30/05/2014,15.50.00,Collision with vehicle                   ,Friday,Left Turn Sideswipe                     ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.99387,-37.86568,Local Road
T20140011214,30/05/2014,20.00.00,Collision with vehicle                   ,Friday,Right Near (Intersections Only)               ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,143.43688,-38.35114,Arterial Highway
T20140011215,30/05/2014,23.20.00,Collision with vehicle                   ,Friday,Vehicle Strikes Door Of Parked/Stationary Vehicle      ,Dark Street lights on,Other injury accident                    ,40 km/hr                          ,144.9663,-37.80888,Local Road
T20140011225,30/05/2014,15.50.00,Collision with vehicle                   ,Friday,Lane Change Left (Not Overtaking)              ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.97049,-37.79748,Local Road
T20140011228,30/05/2014,16.10.00,Struck Pedestrian                      ,Friday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,144.94275,-37.78943,Arterial Other
T20140011229,31/05/2014,09.20.00,Collision with vehicle                   ,Saturday,Right Rear.                         ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.53657,-38.25257,Arterial Other
T20140011230,31/05/2014,08.20.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,40 km/hr                          ,144.69473,-37.81263,Arterial Other
T20140011231,1/05/2014,15.00.00,Struck Pedestrian                      ,Thursday,Ped On Foothpath Struck By Vehentering/Leaving Driveway.  ,Day                             ,Other injury accident                    ,Not known                          ,144.9167,-37.70034,Local Road
T20140011232,31/05/2014,07.55.00,Collision with vehicle                   ,Saturday,Right Near (Intersections Only)               ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,145.01758,-37.72898,Arterial Other
T20140011237,29/05/2014,17.30.00,Collision with vehicle                   ,Thursday,Right Through                        ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.11224,-38.04403,Local Road
T20140011239,28/05/2014,19.08.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.99938,-37.67831,Arterial Other
T20140011240,31/05/2014,11.20.00,Fall from or in moving vehicle               ,Saturday,Fell In/From Vehicle                    ,Day                             ,Serious injury accident                   ,100 km/hr                          ,145.80077,-38.04056,Local Road
T20140011241,29/04/2014,12.08.00,Struck Pedestrian                      ,Tuesday,Far Side. Ped Hit By Vehicle From The Left         ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.86542,-37.78134,Arterial Other
T20140011242,31/05/2014,14.30.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.06391,-37.82205,Arterial Other
T20140011243,14/02/2014,23.13.00,Collision with vehicle                   ,Friday,Head On (Not Overtaking)                  ,Dark Street lights on,Other injury accident                    ,70 km/hr                          ,144.83017,-37.74737,Arterial Other
T20140011244,31/05/2014,11.15.00,Collision with a fixed object                ,Saturday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Serious injury accident                   ,Not known                          ,147.40208,-36.46644,Local Road
T20140011245,28/05/2014,14.28.00,Collision with a fixed object                ,Wednesday,Off Left Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.30096,-37.75775,Local Road
T20140011246,31/05/2014,15.20.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.59739,-37.66643,Local Road
T20140011248,31/05/2014,14.20.00,Struck Pedestrian                      ,Saturday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,50 km/hr                          ,144.9606,-37.77612,Arterial Other
T20140011256,31/05/2014,15.08.00,Collision with vehicle                   ,Saturday,Right Rear.                         ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.13104,-38.15661,Local Road
T20140011257,31/05/2014,15.35.00,No collision and no object struck              ,Saturday,Out Of Control (Overtaking)                 ,Day                             ,Other injury accident                    ,40 km/hr                          ,145.03606,-37.81882,Arterial Other
T20140011261,31/05/2014,17.43.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Dusk/Dawn                          ,Serious injury accident                   ,100 km/hr                          ,145.09643,-37.78008,Freeway
T20140011264,31/05/2014,17.50.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,145.30055,-38.05812,Arterial Other
T20140011268,30/05/2014,22.30.00,Collision with vehicle                   ,Friday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.97702,-37.83968,Arterial Other
T20140011269,31/05/2014,17.55.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Dark No street lights,Other injury accident                    ,80 km/hr                          ,145.25256,-38.49668,Arterial Other
T20140011271,1/05/2014,10.20.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.18618,-37.92207,Arterial Highway
T20140011272,31/05/2014,21.25.00,Vehicle overturned (no collision)              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.94403,-37.83676,Arterial Other
T20140011273,31/05/2014,14.25.00,Collision with vehicle                   ,Saturday,Right Through                        ,Day                             ,Fatal accident                       ,80 km/hr                          ,144.7375,-37.82404,Local Road
T20140011275,31/05/2014,17.50.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Dark Street lights on,Other injury accident                    ,70 km/hr                          ,145.06383,-37.66931,Arterial Other
T20140011278,31/05/2014,23.15.00,Collision with a fixed object                ,Saturday,Right Off Carriageway Into Object/Parked Vehicle      ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,144.93188,-36.35631,Arterial Other
T20140011279,31/05/2014,22.30.00,Collision with vehicle                   ,Saturday,Right Through                        ,Dark Street lights on,Other injury accident                    ,80 km/hr                          ,144.69106,-37.83446,Arterial Other
T20140011280,31/05/2014,21.20.00,Collision with vehicle                   ,Saturday,Right Through                        ,Dark Street lights on,Serious injury accident                   ,80 km/hr                          ,145.15201,-37.85252,Arterial Highway
T20140011282,31/05/2014,18.10.00,Struck Pedestrian                      ,Saturday,Far Side. Ped Hit By Vehicle From The Left         ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,144.35865,-38.07416,Arterial Other
T20140011285,1/06/2014,01.10.00,Vehicle overturned (no collision)              ,Sunday,Out Of Control On Carriageway (On Bend)           ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,147.70178,-37.26713,Local Road
T20140011287,1/06/2014,03.00.00,Struck Pedestrian                      ,Sunday,Any Manoeuvre Involving Ped Not Included In Dcas 100-108.  ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,145.14209,-37.81159,Local Road
T20140011288,1/06/2014,02.10.00,Vehicle overturned (no collision)              ,Sunday,Out Of Control On Carriageway (On Straight)         ,Dark Street lights on,Other injury accident                    ,40 km/hr                          ,144.97698,-37.80711,Local Road
T20140011291,1/06/2014,03.53.00,Collision with a fixed object                ,Sunday,Right Off Carriageway Into Object/Parked Vehicle      ,Dark Street lights on,Serious injury accident                   ,70 km/hr                          ,145.04346,-37.71595,Arterial Highway
T20140011292,21/03/2014,15.50.00,Collision with vehicle                   ,Thursday,Vehicle Collides With Vehicle Parked On Left Of Road    ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.46696,-37.92106,Local Road
T20140011297,31/05/2014,18.40.00,Struck Pedestrian                      ,Saturday,Far Side. Ped Hit By Vehicle From The Left         ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.12008,-38.14532,Arterial Highway
T20140011300,31/05/2014,13.30.00,Collision with vehicle                   ,Saturday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.239,-38.46818,Arterial Highway
T20140011307,1/06/2014,11.10.00,Collision with vehicle                   ,Sunday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.04469,-37.90052,Arterial Other
T20140011309,1/06/2014,12.30.00,Vehicle overturned (no collision)              ,Sunday,Off Carriageway On Right Bend                ,Day                             ,Other injury accident                    ,100 km/hr                          ,144.894,-37.73386,Freeway
T20140011311,1/06/2014,12.30.00,Vehicle overturned (no collision)              ,,Off Carriageway To Left                   ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.49442,-36.27448,Local Road
T20140011312,22/05/2014,04.30.00,Collision with a fixed object                ,Thursday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights unknown,Other injury accident                    ,80 km/hr                          ,144.78956,-37.79727,Arterial Other
T20140011313,1/06/2014,12.08.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,80 km/hr                          ,144.93111,-37.82632,Freeway
T20140011315,1/06/2014,13.00.00,Collision with vehicle                   ,Sunday,Cross Traffic(Intersections Only)              ,Day                             ,Serious injury accident                   ,50 km/hr                          ,144.94511,-37.83006,Local Road
T20140011317,1/06/2014,11.50.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,80 km/hr                          ,144.9312,-37.8263,Freeway
T20140011318,1/06/2014,13.40.00,Collision with vehicle                   ,Sunday,Cross Traffic(Intersections Only)              ,Day                             ,Other injury accident                    ,70 km/hr                          ,144.82872,-37.77706,Arterial Other
T20140011319,1/06/2014,12.50.00,Collision with vehicle                   ,Sunday,Left Turn Sideswipe                     ,Day                             ,Serious injury accident                   ,50 km/hr                          ,144.95884,-37.78769,Arterial Other
T20140011320,1/06/2014,12.25.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Other injury accident                    ,100 km/hr                          ,144.8882,-38.3981,Arterial Other
T20140011321,18/05/2014,05.51.00,Collision with vehicle                   ,Sunday,U Turn                           ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,145.02687,-37.78156,Arterial Other
T20140011322,1/06/2014,14.35.00,Collision with vehicle                   ,Sunday,Right Through                        ,Day                             ,Serious injury accident                   ,80 km/hr                          ,144.97861,-37.42309,Arterial Highway
T20140011325,1/06/2014,14.38.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.06855,-37.87896,Arterial Other
T20140011327,1/06/2014,14.40.00,Struck Pedestrian                      ,Sunday,Far Side. Ped Hit By Vehicle From The Left         ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.28223,-37.7988,Arterial Other
T20140011329,1/06/2014,15.35.00,Collision with vehicle                   ,Sunday,Head On (Not Overtaking)                  ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.26764,-37.88544,Arterial Other
T20140011331,1/06/2014,16.10.00,Collision with vehicle                   ,Sunday,Vehicle Strikes Door Of Parked/Stationary Vehicle      ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.99218,-37.8686,Arterial Other
T20140011333,29/05/2014,17.00.00,Struck Pedestrian                      ,Thursday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.08524,-37.90951,Arterial Highway
T20140011337,1/06/2014,16.30.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.02113,-37.82646,Arterial Other
T20140011339,1/06/2014,18.28.00,Collision with vehicle                   ,Sunday,Lane Change Left (Not Overtaking)              ,Dark Street lights on,Other injury accident                    ,80 km/hr                          ,144.93693,-37.82561,Freeway
T20140011340,1/06/2014,18.50.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,145.07508,-37.73712,Arterial Highway
T20140011343,1/06/2014,18.30.00,Collision with a fixed object                ,Sunday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,145.10991,-37.83753,Arterial Other
T20140011344,1/06/2014,19.30.00,Collision with vehicle                   ,Sunday,Cross Traffic(Intersections Only)              ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,145.16438,-37.84681,Local Road
T20140011349,1/06/2014,16.00.00,Collision with a fixed object                ,Sunday,Off Left Bend Into Object/Parked Vehicle          ,Dusk/Dawn                          ,Fatal accident                       ,100 km/hr                          ,142.18136,-37.73979,Local Road
T20140011350,1/06/2014,16.05.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Other injury accident                    ,80 km/hr                          ,144.42026,-38.17853,Arterial Highway
T20140011352,1/06/2014,18.55.00,Collision with vehicle                   ,Sunday,Right Through                        ,Dark Street lights unknown,Serious injury accident                   ,50 km/hr                          ,144.8811,-37.77503,Arterial Other
T20140011353,1/06/2014,20.50.00,Collision with vehicle                   ,Sunday,Right Rear.                         ,Dark Street lights on,Other injury accident                    ,60 km/hr                          ,144.91641,-37.68789,Arterial Other
T20140011354,1/06/2014,22.56.00,Collision with a fixed object                ,Sunday,Right Off Carriageway Into Object/Parked Vehicle      ,Dark Street lights unknown,Serious injury accident                   ,50 km/hr                          ,145.30801,-37.83395,Local Road
T20140011355,2/06/2014,00.30.00,Collision with vehicle                   ,Monday,Right Near (Intersections Only)               ,Dark Street lights on,Other injury accident                    ,50 km/hr                          ,144.95949,-37.80414,Local Road
T20140011356,2/06/2014,00.20.00,Collision with a fixed object                ,Monday,Left Off Carriageway Into Object/Parked Vehicle       ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,143.84496,-37.57466,Arterial Other
T20140011361,2/06/2014,06.50.00,Collision with vehicle                   ,Monday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Serious injury accident                   ,50 km/hr                          ,144.96305,-37.83229,Local Road
T20140011364,2/06/2014,07.30.00,No collision and no object struck              ,Monday,Parked Car Run Away                     ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.27893,-38.00109,Local Road
T20140011367,1/06/2014,14.55.00,Collision with vehicle                   ,Sunday,Rear End(Vehicles In Same Lane)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.86894,-37.78287,Arterial Other
T20140011371,2/06/2014,07.30.00,Collision with a fixed object                ,Monday,Left Off Carriageway Into Object/Parked Vehicle       ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,144.41324,-38.02854,Local Road
T20140011372,2/06/2014,10.00.00,Collision with vehicle                   ,Monday,Right Far (Intersections Only)               ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.88972,-38.35991,Arterial Highway
T20140011374,29/05/2014,13.00.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.12183,-37.82874,Arterial Other
T20140011378,2/06/2014,10.20.00,Struck Pedestrian                      ,Monday,Far Side. Ped Hit By Vehicle From The Left         ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.05909,-37.81877,Arterial Other
T20140011379,31/05/2014,09.05.00,Struck Pedestrian                      ,Saturday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.02446,-37.92288,Arterial Highway
T20140011380,2/06/2014,13.35.00,Collision with vehicle                   ,Monday,Reversing In Stream Of Traffic               ,Day                             ,Other injury accident                    ,50 km/hr                          ,146.53749,-38.19738,Local Road
T20140011381,1/06/2014,14.00.00,Vehicle overturned (no collision)              ,Sunday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,50 km/hr                          ,146.37206,-37.9628,Local Road
T20140011382,2/06/2014,11.54.00,Collision with vehicle                   ,Monday,Right Through                        ,Day                             ,Other injury accident                    ,40 km/hr                          ,144.99966,-37.8159,Arterial Other
T20140011384,29/05/2014,13.45.00,Struck Pedestrian                      ,Thursday,Any Manoeuvre Involving Ped Not Included In Dcas 100-108.  ,Day                             ,Serious injury accident                   ,60 km/hr                          ,144.97721,-37.84022,Arterial Other
T20140011385,2/06/2014,11.50.00,Collision with a fixed object                ,Monday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,80 km/hr                          ,145.14148,-37.92338,Arterial Highway
T20140011386,2/06/2014,09.50.00,Collision with a fixed object                ,Monday,Off Right Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,100 km/hr                          ,142.44636,-38.22932,Arterial Other
T20140011387,2/06/2014,15.45.00,Collision with a fixed object                ,Monday,Left Off Carriageway Into Object/Parked Vehicle       ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.85469,-37.77995,Arterial Other
T20140011389,1/06/2014,12.50.00,Collision with a fixed object                ,Sunday,Right Off Carriageway Into Object/Parked Vehicle      ,Day                             ,Other injury accident                    ,110 km/hr                          ,145.20061,-36.70709,Freeway
T20140011390,2/06/2014,15.38.00,Struck Pedestrian                      ,Monday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.14942,-37.86682,Arterial Other
T20140011391,2/06/2014,12.40.00,Struck Pedestrian                      ,Monday,Ped Near Side. Ped Hit By Vehicle From The Right.      ,Day                             ,Other injury accident                    ,60 km/hr                          ,144.88906,-37.73603,Arterial Other
T20140011392,2/06/2014,15.10.00,Collision with vehicle                   ,Monday,Rear End(Vehicles In Same Lane)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.29174,-37.79006,Arterial Other
T20140011393,2/06/2014,15.15.00,No collision and no object struck              ,Monday,Out Of Control (Overtaking)                 ,Day                             ,Serious injury accident                   ,80 km/hr                          ,144.31708,-36.78426,Arterial Other
T20140011394,26/05/2014,08.45.00,Collision with vehicle                   ,Monday,Right Through                        ,Day                             ,Other injury accident                    ,40 km/hr                          ,144.96428,-37.75457,Arterial Other
T20140011398,2/06/2014,16.45.00,Collision with vehicle                   ,Monday,Right Through                        ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.13052,-37.8924,Freeway
T20140011402,2/06/2014,16.58.00,Collision with vehicle                   ,Monday,Vehicle Strikes Another Veh While Emerging From Driveway,Dusk/Dawn                          ,Other injury accident                    ,Not known                          ,144.81859,-37.73327,Arterial Other
T20140011403,2/06/2014,11.18.00,Collision with a fixed object                ,Monday,Off Left Bend Into Object/Parked Vehicle          ,Day                             ,Other injury accident                    ,100 km/hr                          ,145.14057,-37.57041,Local Road
T20140011405,2/06/2014,17.10.00,Struck Pedestrian                      ,Monday,Far Side. Ped Hit By Vehicle From The Left         ,Dusk/Dawn                          ,Serious injury accident                   ,40 km/hr                          ,144.99066,-37.84642,Arterial Other
T20140011406,2/06/2014,18.20.00,Collision with vehicle                   ,Monday,Cross Traffic(Intersections Only)              ,Dusk/Dawn                          ,Other injury accident                    ,60 km/hr                          ,145.12575,-37.80831,Arterial Other
T20140011407,2/06/2014,17.03.00,Collision with a fixed object                ,Monday,Reversing Into Fixed Object/Parked Vehicle         ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.09871,-37.76636,Local Road
T20140011408,24/04/2014,07.40.00,Collision with vehicle                   ,Wednesday,Rear End(Vehicles In Same Lane)               ,Unk.                            ,Other injury accident                    ,Not known                          ,145.27753,-37.88275,Arterial Highway
T20140011409,18/05/2014,19.35.00,Collision with vehicle                   ,,Right Through                        ,Dark Street lights on,Other injury accident                    ,40 km/hr                          ,144.95756,-37.82036,Arterial Highway
T20140011411,26/05/2014,07.30.00,Collision with vehicle                   ,Monday,Right Through                        ,Unk.                            ,Other injury accident                    ,60 km/hr                          ,144.92646,-37.7581,Arterial Other
T20140011412,2/06/2014,18.37.00,Collision with vehicle                   ,Sunday,Right Rear.                         ,Dusk/Dawn                          ,Serious injury accident                   ,100 km/hr                          ,143.78654,-37.59029,Arterial Highway
T20140011413,2/06/2014,16.30.00,Collision with vehicle                   ,Monday,Reversing Into Fixed Object/Parked Vehicle         ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,144.56815,-38.16365,Local Road
T20140011416,2/06/2014,16.50.00,Collision with vehicle                   ,Monday,Head On (Not Overtaking)                  ,Dusk/Dawn                          ,Serious injury accident                   ,80 km/hr                          ,145.19319,-38.19944,Arterial Other
T20140011426,2/06/2014,20.24.00,Struck Pedestrian                      ,Monday,Ped Walking With Traffic                  ,Dark No street lights,Serious injury accident                   ,100 km/hr                          ,144.98121,-36.27449,Local Road
T20140011433,3/06/2014,06.10.00,Struck Pedestrian                      ,Tuesday,Far Side. Ped Hit By Vehicle From The Left         ,Dark Street lights on,Serious injury accident                   ,60 km/hr                          ,144.92608,-37.75581,Arterial Other
T20140011434,13/03/2014,17.50.00,Collision with vehicle                   ,Thursday,Rear End(Vehicles In Same Lane)               ,Dusk/Dawn                          ,Other injury accident                    ,50 km/hr                          ,145.34883,-37.9077,Arterial Other
T20140011435,3/06/2014,05.48.00,Collision with vehicle                   ,Tuesday,Right Through                        ,Dark Street lights unknown,Serious injury accident                   ,80 km/hr                          ,145.19175,-38.0012,Freeway
T20140011436,3/06/2014,06.20.00,Collision with vehicle                   ,Tuesday,Right Through                        ,Dark Street lights on,Other injury accident                    ,80 km/hr                          ,145.30429,-37.82154,Arterial Other
T20140011438,3/06/2014,07.41.00,Collision with vehicle                   ,Tuesday,U Turn                           ,Dusk/Dawn                          ,Other injury accident                    ,100 km/hr                          ,144.75953,-37.55352,Arterial Other
T20140011439,11/05/2014,01.40.00,Struck Pedestrian                      ,Sunday,Any Manoeuvre Involving Ped Not Included In Dcas 100-108.  ,Dark Street lights unknown,Other injury accident                    ,50 km/hr                          ,144.99327,-37.84675,Arterial Other
T20140011440,3/06/2014,08.34.00,Collision with vehicle                   ,Tuesday,Right Near (Intersections Only)               ,Dusk/Dawn                          ,Serious injury accident                   ,60 km/hr                          ,145.09464,-37.7738,Arterial Other
T20140011442,31/05/2014,09.30.00,No collision and no object struck              ,Saturday,Out Of Control On Carriageway (On Straight)         ,Day                             ,Other injury accident                    ,50 km/hr                          ,145.99403,-36.5439,Local Road
T20140011443,3/06/2014,09.15.00,Collision with vehicle                   ,Tuesday,Right Near (Intersections Only)               ,Day                             ,Other injury accident                    ,60 km/hr                          ,145.28973,-38.11389,Arterial Other
